Che (Moraceae),,Dbl Crop Lettuce/Cotton
Cherries,Cherries,Dbl Crop Lettuce/Durum Wht
Chervil (Apiaceae),,Dbl Crop Oats/Corn
Chestnuts,,Dbl Crop Soybeans/Cotton
Chick peas,Chick Peas,Dbl Crop Soybeans/Oats
Chicory roots,,Dbl Crop Triticale/Corn
Chillies and peppers,,Dbl Crop WinWht/Corn
"Chinese artichoke
Stachys affinis
(Lamiaceae)",,Dbl Crop WinWht/Cotton
Chinese chives (Liliaceae),,Dbl Crop WinWht/Sorghum
"Chinese tallow
(Euphorbiaceae)",,Dbl Crop WinWht/Soybeans
Chinquapin (Fagaceae),,
"Chive, Chinese (Liliaceae)",,
"Chokecherry
(Rosaceae)",,
Chrysanthemum (Asteraceae),,
Chufa (Cyperaceae),,
"Cinnamon
(Lauraceae)",,
Citron (Rutaceae),,
"Citron melon (Cucurbitaceae) =
watermelon",,
Citrus hybrids (Rutaceae),Citrus,
Clary (Lamiaceae),,
Cloudberry (Rosaceae),,
Clover for forage and silage,,
Cocona (Solanaceae),,
Coconut (Arecaceae),,
"Coffee, green",,
Collards (Brassicaceae),,
Corn,Corn,
Corn salad (Valerianaceae),,
"Costmary
(Asteraceae)",,
Cotton,Cotton,
Cow peas,,
Crabapple (Rosaceae),,
Crambe (Brassicaceae),,
Cranberries,Cranberries,
"Cress, garden (Brassicaceae)",,
"Cress, upland (Brassicaceae)",,
Crown vetch (Fabaceae),,
"Cucumbers and
gherkins",Cucumbers,
Culantro (Apiaceae),,
Cuphea (Lythraceae),,
Currant tomato (Solanaceae),,
Currants,,
Dandelion (Asteraceae),,
Dasheen (Araceae),,
Dates,,
"Daylily, bulb
(Liliaceae)",,
Dock/sorrel (Polygonaceae),,
"Echium
(Boraginaceae)",,
Edible burdock (Asteraceae),,
Edible canna (Cannaceae),,
"Edible honeysuckle
(Caprifoliaceae)",,
Eggplants,Eggplants,
Elder,,
Elegans hosta (Liliaceae),,
Endive (Asteraceae),,
Euphorbia (Euphorbiaceae),,
"European barberry
(Berberidaceae)",,
"Evening primrose
(Onagraceae)",,
Fennel (Apiaceae),,
Figs,,
Flax seed (Linaceae),Flaxseed,
Fritillaria (Liliaceae),,
Garden huckleberry (Solanaceae),,
Garlic,Garlic,
"Garlic, great headed (Liliaceae)",,
"Garlic, serpent (Liliaceae)",,
Ginger (PR) (Zingiberaceae),,
"Ginkgo
(Ginkgoaceae)",,
Ginseng (Araliaceae),,
Goji berry (Solanaceae),,
Gold of pleasure (Brassicaceae),,
Gooseberry,,
"Grapefruit (inc.
pomelos)",,
Grapes,Grapes,
Grasses for forage; Sil,Grass/Pasture,
Groundcherry (Solanaceae),,
"Groundnuts, with shell,
peanuts",Peanuts,
Guar (Fabaceae),,
Guiana chestnut (PR) (Bombacaceae),,
"Hare's ear mustard
(Brassicaceae)",,
"Hazelnuts, with shell
(filberts)",,
Heartnut (Juglandaceae),,
Hemp,,
"Hickory
(Juglandaceae)",,
Highbush cranberry (Caprifoliaceae),,
Hops,Hops,
"Horehound
(Lamiaceae)",,
Horseradish (Brassicaceae),,
Huckleberry (Ericaceae),,
Hyssop (Lamiaceae),,
Jackbean (Fabaceae),,
Jerusalem artichoke (Asteraceae),,
Jojoba (Simmondsiaceae),,
Jostaberry (Grossulariaceae),,
"Jujube
(Rhamnaceae)",,
Juneberry (Rosaceae),,
Kale  (Brassicaceae),,
Kiwi fruit,,
Kohlrabi (Brassicaceae),,
Kumquat (Rutaceae),,
Kurrat (Liliaceae),,
Lablab bean (Fabaceae),,
"Lavendar
(Lamiaceae)",,
"Leeks, other alliaceous vegetables",,
Leguminous for silage,,
Leguminous vegetables,,
Lemon balm (Lamiaceae),,
Lemongrass (Graminae),,
Lemons/ limes,,
Lentils,Lentils,
Leren (PR) (Marantaceae),,
"Lesquerella
(Brassicaceae)",,
Lettuce,Lettuce,
Lily (Liliaceae),,
"Lingonberry
(Ericaceae)",,
Linseed,,
Loquat (Rosaceae),,
Lovage (Apiaceae),,
Lunaria (Brassicaceae),,
Lupin (Fabaceae),,
Lupins,,
Macadamia nut (PR) (Proteaceae),,
Mace (Myristicaceae),,
"Marigold
(Asteraceae)",,
Marjoram (Lamiaceae),,
Martynia (Pedaliaceae),,
Mayhaw (Rosaceae),,
Maypop (Passifloraceae),,
"Meadowfoam
(Limnanthaceae)",,
Mediterranean mandarin (Rutaceae),,
Medlar (Rosaceae),,
Melonseed,,
Milk vetch (Fabaceae) Astragalus spp.,,
Milkweed (Asclepiadaceae),,
Millet (Poaceae),Millet,
Mizuna (Brassicaceae),,
"Momordica spp.
(Cucurbitaceae)",,
"Mount white lime
(Rutaceae)",,
Mulberry (Moraceae),,
Mushrooms and truffles,,
Mustard greens (Brassicaceae),Mustard,
Mustard seed,,
Mustard spinach (Brassicaceae),,
Naranjilla (Solanaceae),,
"Nasturtium
(Tropaeolaceae)",,
Nectarine (Rosaceae),Nectarines,
New guinea wild lime (Rutaceae),,
New Zealand spinach (Aizoaceae),,
"Niger seed
(Asteraceae)",,
Nutmeg (Myristicaceae),,
Oat,Oats,
Oil radish (Brassicaceae),,
Okra,,
Olives,Olives,
Onion (various varieties except green onion) (Liliaceae),,
Onions,Onions,
Orach (Chenopodiaceae),,
Oranges,Oranges,
Pachira (Bombacaceae),,
Parsley (Apiaceae),,
Parsley (Apiaceae),,
Parsnip (Apiaceae),,
Partridgeberry (Rubiaceae),,
Pea eggplant (Solanaceae),,
Peach (Rosaceae),Peaches,
"Peach palm nut
(Arecaceae)",,
Peaches/ nectarines,Nectarines,
Peaches/ nectarines,Peaches,
Pears,Pears,
Peas,Peas,
Pecan (Juglandaceae),Pecans,
Pepino (Solanaceae),,
Peppermint,,
Persimmons,,
Phalsa (Tiliaceae),,
Pigeon pea (Fabaceae),,
Pin cherry (Rosaceae),,
Pine nut (Pinaceae),,
Pistachios,Pistachios,
"Plum (various)
(Rosaceae)",,
Plumcot (Rosaceae),,
Plums and sloes,Plums,
Popcorn (Poaceae),,
Poppy seed,,
Potatoes,Potatoes,
Pseudocydonia sinensis (Rosaceae),,
"Pumpkins, squash and
gourds",Gourds,
"Pumpkins, squash and
gourds",Pumpkins,
"Pumpkins, squash and
gourds",Squash,
"Purslane, garden (Apiaceae)",,
"Pyrethrum,
dried",,
Quinces,,
Radicchio (Asteraceae),,
Radish (Brassicaceae),Radishes,
Rape greens (Brassicaceae),,
Rapeseed (including canola),Canola,
Rapeseed (including canola),Rape Seed,
Raspberries,,
Rhubarb (Polygonaceae),,
"Rice, paddy",Rice,
Rose hip (Rosaceae),,
Roselle (Malvaceae),,
Rosemary (Lamiaceae),,
Rue (Rutaceae),,
Rutabaga and turnip (Brassicaceae),,
Rye,Rye,
Rye grass for forage and silage,Rye,
Safflower seed,Safflower,
Sage (Lamiaceae),,
Salal (Ericaceae),,
"Salsify, (oyster plant) (Asteraceae)",,
"Salsify, spanish (Asteraceae)",,
Savory (Lamiaceae),,
Scarlet eggplant (Solanaceae),,
"Schisandra berry
(Schisandraceae)",,
Serradella/ birdsfoot,,
"Sesame
seed",,
Shallot (Liliaceae),,
Skirret (Apiaceae),,
Sloe (Rosaceae),,
Sorghum,Sorghum,
Soybeans,Soybeans,
Spices,,
Spinach,,
"Stokes aster
(Asteraceae)",,
"Stokes aster (sweet rocket)
(Brassicaceae)",,
Strawberries,Strawberries,
Sugar beet,Sugarbeets,
Sugar cane,Sugarcane,
Sunberry (Solanaceae),,
Sunflower seed,Sunflower,
Sweet potatoes,Sweet Potatoes,
Swiss chard (Chenopodiaceae),,
Sword bean (Fabaceae),,
Tallowwood (Olacaceae),,
Tangelo (Rutaceae),,
"Tangerines, mandarins, clementines",,
Tangor (Rutaceae),,
Tanier (Araceae),,
Tansy (Asteraceae),,
Tarragon (Asteraceae),,
"Tea oil plant
(Theaceae)",,
Tejocote (Rosaceae),,
Teosinte (Poaceae),,
Tobacco5,Tobacco,
Tomatillo (Solanaceae),,
Tomatoes,Tomatoes,
Tree tomato (Solanaceae),,
Triticale,Triticale,
"Tropical almond
(Combretaceae)",,
True yam (Dioscoreaceae),,
Turnip rooted parsley (Apiaceae),Turnips,
Turnip-rooted chervil (Apiaceae),Turnips,
Turnips for fodder,Turnips,
Uniq fruit (Rutaceae),,
Vanilla (Orchidaceae),,
Velvet bean (Fabaceae),,
Veronia (Asteraceae),,
Vetch (Fabaceae),,
Vetches,Vetch,
Vine spinach (Basellaceae),,
"Viper's
grass",,
Walnuts with shell,Walnuts,
Watermelons,Watermelons,
Wheat,Winter Wheat,
Wheat,Durum Wheat,
Wheat,Spring Wheat,
Wild rice (Poaceae),,
Winter purslane (Portulaceae),,
Wintergreen (Ericaceae),,
Woodruff (Rubiaceae),,
"Wormwood
(Asteraceae)",,
Yam bean (Fabaceae),,
